timestamp,cpu,ram,disco
2025-08-25 12:50:45.608740,29.9,89.5,89.0
2025-08-25 12:50:46.630271,15.7,89.6,89.0
2025-08-25 12:50:47.638554,17.6,89.5,89.0
2025-08-25 12:50:48.650980,20.5,89.6,89.0
2025-08-25 12:50:49.659568,33.1,89.6,89.0
2025-08-25 12:50:50.670440,30.1,89.6,89.0
2025-08-25 12:50:51.678182,31.9,89.5,89.0
2025-08-25 12:50:52.686563,22.4,89.5,89.0
2025-08-25 12:50:53.692576,6.9,89.5,89.0
2025-08-25 12:50:54.698715,32.9,89.6,89.0
2025-08-25 12:50:55.710294,18.1,89.6,89.0
2025-08-25 12:50:56.716726,22.1,89.4,89.0
2025-08-25 12:50:57.728222,14.2,89.5,89.0
2025-08-25 12:50:58.738603,22.1,89.4,89.0
2025-08-25 12:50:59.746852,18.5,90.0,89.0
2025-08-25 12:51:00.760353,16.7,89.9,89.0
2025-08-25 12:51:01.768912,13.6,90.0,89.0
2025-08-25 12:51:02.776642,44.6,90.0,89.0
2025-08-25 12:51:03.791420,26.7,90.1,89.0
2025-08-25 12:51:04.799343,31.9,90.2,89.0
