timestamp,cpu,ram,disco
2025-08-25 12:49:44.864367,70.9,89.0,89.0
2025-08-25 12:49:45.876872,35.2,89.2,89.0
2025-08-25 12:49:46.884833,20.2,89.1,89.0
2025-08-25 12:49:47.892196,17.4,89.2,89.0
2025-08-25 12:49:48.901762,42.6,89.0,89.0
2025-08-25 12:49:49.912707,27.3,89.1,89.0
2025-08-25 12:49:50.923087,26.1,89.0,89.0
2025-08-25 12:49:51.934383,32.2,89.1,89.0
2025-08-25 12:49:52.945163,35.3,89.2,89.0
2025-08-25 12:49:53.960012,20.3,89.2,89.0
2025-08-25 12:49:54.979048,66.4,89.7,89.0
2025-08-25 12:49:55.987340,28.8,89.6,89.0
2025-08-25 12:49:56.995681,15.1,89.1,89.0
2025-08-25 12:49:58.007084,33.5,89.6,89.0
2025-08-25 12:49:59.020443,27.2,89.5,89.0
2025-08-25 12:50:00.034624,53.2,90.1,89.0
2025-08-25 12:50:01.047471,42.1,90.5,89.0
2025-08-25 12:50:02.056645,35.1,90.5,89.0
2025-08-25 12:50:03.063126,22.5,90.5,89.0
2025-08-25 12:50:04.073949,18.7,90.4,89.0
2025-08-25 12:50:05.088177,30.2,89.2,89.0
2025-08-25 12:50:06.094206,54.5,90.0,89.0
2025-08-25 12:50:07.105088,65.6,90.3,89.0
2025-08-25 12:50:08.113771,51.7,90.4,89.0
2025-08-25 12:50:09.124586,28.4,90.4,89.0
2025-08-25 12:50:10.132668,28.0,90.5,89.0
2025-08-25 12:50:11.139853,29.0,90.4,89.0
2025-08-25 12:50:12.150469,41.7,90.4,89.0
2025-08-25 12:50:13.161323,12.3,90.5,89.0
2025-08-25 12:50:14.172911,40.2,90.5,89.0
2025-08-25 12:50:15.195210,35.7,90.6,89.0
2025-08-25 12:50:16.204132,23.6,90.6,89.0
2025-08-25 12:50:17.214820,24.8,90.6,89.0
2025-08-25 12:50:18.226929,25.7,90.5,89.0
2025-08-25 12:50:19.240851,32.6,90.0,89.0
2025-08-25 12:50:20.257733,20.2,90.0,89.0
2025-08-25 12:50:21.264267,26.3,89.9,89.0
2025-08-25 12:50:22.319376,56.5,90.6,89.0
2025-08-25 12:50:23.332759,36.2,90.7,89.0
2025-08-25 12:50:24.349106,21.3,90.6,89.0
2025-08-25 12:50:25.355926,17.5,90.6,89.0
2025-08-25 12:50:26.364355,19.4,90.6,89.0
2025-08-25 12:50:27.371275,12.8,90.6,89.0
2025-08-25 12:50:28.384998,40.4,90.5,89.0
2025-08-25 12:50:29.405246,36.9,90.5,89.0
2025-08-25 12:50:30.411254,18.5,90.5,89.0
2025-08-25 12:50:31.418770,16.5,90.5,89.0
2025-08-25 12:50:32.426238,24.4,90.4,89.0
2025-08-25 12:50:33.434619,9.6,90.5,89.0
2025-08-25 12:50:34.445866,30.1,90.5,89.0
2025-08-25 12:50:35.452764,14.5,90.4,89.0
2025-08-25 12:50:36.491512,51.1,90.3,89.0
2025-08-25 12:50:37.499099,22.2,90.0,89.0
2025-08-25 12:50:38.521890,20.6,90.0,89.0
2025-08-25 12:50:39.535057,32.6,90.0,89.0
2025-08-25 12:50:40.546655,17.8,90.0,89.0
2025-08-25 12:50:41.560038,9.6,89.9,89.0
2025-08-25 12:50:42.571073,11.9,89.8,89.0
2025-08-25 12:50:43.580544,16.4,89.8,89.0
2025-08-25 12:50:44.589641,49.4,89.4,89.0
